"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"310M700US17780","College Station-Bryan, TX Metro Area","111990","1946","9.3","1.5","3.7","1.1","8.2","1.8","9.2","1.5","11.4","2.0","15.7","2.2","10.1","1.6","16.7","2.0","5.8","0.8","10.0","1.6","61983","3426","90042","4348","35.6","(X)","(X)","(X)","(X)","(X)","64137","2841","2.8","1.3","1.1","0.7","5.6","1.8","6.1","1.7","7.6","2.0","15.1","2.5","12.0","2.2","24.8","3.2","8.7","1.5","16.1","2.5","99170","8393","121437","6267","(X)","(X)","37.2","(X)","(X)","(X)","47532","3119","1.0","0.6","0.9","0.7","1.8","1.0","4.5","1.7","4.0","1.5","13.7","2.7","12.7","2.7","29.3","4.1","11.6","2.0","20.6","3.5","120844","6883","N","N","(X)","(X)","(X)","(X)","(X)","(X)","47853","2611","18.8","3.0","7.1","2.2","12.8","3.5","12.5","2.7","17.1","3.8","15.8","3.2","6.8","1.7","6.2","1.7","1.4","0.8","1.6","0.9","33438","4271","45797","4428","(X)","(X)","(X)","(X)","32.2","(X)",
"310M700US17820","Colorado Springs, CO Metro Area","316919","2636","3.5","0.6","2.1","0.6","4.2","0.8","5.6","1.1","7.6","0.8","18.2","1.5","13.6","1.1","20.2","1.5","11.4","0.9","13.5","1.1","90760","2571","117580","3575","32.8","(X)","(X)","(X)","(X)","(X)","210954","5122","2.8","0.7","0.9","0.4","2.3","0.6","3.4","0.7","6.1","0.9","15.6","1.6","13.9","1.1","22.7","1.9","14.8","1.4","17.5","1.6","109688","5966","136099","4788","(X)","(X)","34.2","(X)","(X)","(X)","166682","5845","0.8","0.4","0.5","0.4","1.7","0.6","2.2","0.6","4.8","0.9","14.1","1.7","14.0","1.4","24.0","2.1","16.9","1.6","21.0","1.9","125433","5166","151190","5295","(X)","(X)","(X)","(X)","(X)","(X)","105965","5008","6.4","1.4","4.4","1.3","8.4","2.0","10.1","2.4","12.3","1.6","23.7","2.6","12.3","1.9","13.9","2.3","4.1","1.0","4.6","1.3","59475","2182","74774","4811","(X)","(X)","(X)","(X)","28.8","(X)",
"310M700US17860","Columbia, MO Metro Area","88462","1678","4.9","1.6","1.6","0.7","7.3","1.7","6.7","1.5","10.9","1.9","16.4","2.1","13.7","2.2","19.9","2.6","8.8","1.7","9.7","1.4","80142","6440","104596","6230","33.9","(X)","(X)","(X)","(X)","(X)","49576","2486","2.3","1.4","1.3","0.7","3.6","1.7","4.2","2.1","7.0","1.8","14.3","2.6","13.7","2.8","26.1","3.5","13.5","2.8","14.2","2.4","107786","9762","131217","10220","(X)","(X)","34.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","124502","4229","N","N","(X)","(X)","(X)","(X)","(X)","(X)","38886","2631","8.5","2.7","2.3","1.4","12.5","3.8","12.0","2.9","15.1","3.0","19.3","3.6","13.3","2.8","10.6","3.0","2.5","1.0","4.0","1.5","49218","6888","67963","6743","(X)","(X)","(X)","(X)","31.8","(X)",
"310M700US17900","Columbia, SC Metro Area","351807","3777","6.4","0.8","3.3","0.7","6.9","1.0","7.1","0.7","11.7","1.0","17.3","1.4","14.4","1.2","15.7","1.3","8.3","1.0","9.0","0.9","70788","2496","94391","2551","35.9","(X)","(X)","(X)","(X)","(X)","224614","6108","4.1","0.9","1.4","0.7","4.3","0.9","5.1","0.9","10.1","1.2","16.1","1.7","15.6","1.4","20.0","2.0","10.7","1.2","12.5","1.3","87973","3718","113635","3694","(X)","(X)","37.0","(X)","(X)","(X)","154475","5751","1.6","0.5","0.6","0.3","2.1","0.7","2.7","0.6","7.6","1.2","14.6","1.5","17.2","1.8","23.1","2.4","13.3","1.6","17.1","1.9","106550","6741","134289","4942","(X)","(X)","(X)","(X)","(X)","(X)","127193","5262","11.1","1.6","6.4","1.4","12.2","2.2","10.9","1.7","15.8","1.9","19.9","2.5","11.1","2.0","8.3","1.5","2.4","0.7","2.0","0.5","42321","3607","56093","3495","(X)","(X)","(X)","(X)","32.6","(X)",
"310M700US17980","Columbus, GA-AL Metro Area","128387","2647","10.2","2.0","3.7","1.0","8.6","1.6","7.4","1.5","11.9","2.1","17.8","2.2","11.6","2.1","14.7","2.1","6.8","1.3","7.4","1.5","60100","4158","83280","5164","47.0","(X)","(X)","(X)","(X)","(X)","77524","3240","6.0","1.8","1.4","0.8","5.4","1.7","6.5","1.7","11.0","2.4","15.9","2.4","14.2","2.6","20.0","2.8","9.2","1.9","10.5","2.1","80780","3902","103398","7562","(X)","(X)","46.0","(X)","(X)","(X)","51747","3244","2.9","1.6","1.2","1.1","4.0","1.8","2.2","1.0","7.5","2.2","15.7","2.8","14.7","3.0","24.7","3.3","12.7","2.6","14.3","3.2","103132","6519","125061","11092","(X)","(X)","(X)","(X)","(X)","(X)","50863","3524","17.1","3.9","7.0","2.0","13.8","2.7","9.6","2.3","12.7","3.0","20.9","3.8","7.7","3.1","6.6","2.2","2.2","1.0","2.5","1.6","38103","5087","50858","5121","(X)","(X)","(X)","(X)","47.9","(X)",
"310M700US18020","Columbus, IN Metro Area","33605","1027","3.5","1.8","2.5","1.5","5.9","2.1","8.0","3.0","11.4","2.9","15.2","3.9","17.6","4.6","20.6","4.2","8.0","2.6","7.4","2.2","80438","5724","96037","6588","30.5","(X)","(X)","(X)","(X)","(X)","22465","1572","1.1","1.4","0.9","0.9","1.8","1.4","5.9","3.7","7.2","3.5","17.3","5.5","20.4","6.3","24.5","4.9","9.8","3.9","11.0","3.5","89334","12424","115288","9054","(X)","(X)","34.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","110246","11751","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11140","1298","8.3","4.9","6.1","3.9","15.6","5.8","11.5","6.4","22.0","7.9","13.2","5.2","10.2","5.3","11.0","6.0","2.2","2.1","0.0","1.6","39296","8349","51398","6624","(X)","(X)","(X)","(X)","22.6","(X)",
"310M700US18060","Columbus, MS Micro Area","27091","1418","8.3","3.1","4.3","2.5","9.3","2.9","11.2","3.4","13.8","4.2","15.9","4.4","10.4","3.0","14.6","4.6","8.8","4.1","3.4","1.8","52139","7311","75138","8111","33.6","(X)","(X)","(X)","(X)","(X)","16413","1910","5.1","4.3","0.9","1.1","7.9","4.1","5.4","2.9","13.7","5.3","15.3","5.5","13.8","4.2","20.4","6.4","12.4","5.6","5.2","2.9","78380","9638","95208","11187","(X)","(X)","39.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","105509","8844","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10678","1575","14.0","6.0","9.6","6.3","12.2","5.4","19.2","5.8","13.3","7.5","19.1","8.0","5.2","4.1","3.5","3.4","3.3","4.2","0.6","1.0","31305","6010","41917","7081","(X)","(X)","(X)","(X)","24.8","(X)",
"310M700US18140","Columbus, OH Metro Area","880121","6287","4.5","0.4","2.8","0.3","5.1","0.4","6.5","0.4","10.5","0.6","15.6","0.8","13.6","0.6","18.4","0.6","9.7","0.5","13.4","0.6","82938","1487","112294","1839","31.6","(X)","(X)","(X)","(X)","(X)","553464","8848","2.6","0.4","1.7","0.3","3.1","0.4","4.5","0.5","8.1","0.7","13.9","1.0","12.9","0.8","21.6","0.8","13.0","0.7","18.6","0.7","105536","1982","135944","2548","(X)","(X)","33.9","(X)","(X)","(X)","399212","7738","1.5","0.5","0.9","0.3","1.5","0.3","2.5","0.4","5.1","0.6","11.5","0.8","13.2","0.8","24.5","0.9","15.8","1.0","23.6","1.0","126602","2864","158102","3357","(X)","(X)","(X)","(X)","(X)","(X)","326657","9140","8.4","1.0","5.0","0.7","8.7","0.8","10.3","1.0","15.4","1.1","19.1","1.4","14.6","1.2","11.3","1.1","3.5","0.6","3.6","0.7","51610","1252","67606","2380","(X)","(X)","(X)","(X)","26.7","(X)",
"310M700US18180","Concord, NH Micro Area","62719","1165","3.7","1.3","1.8","1.1","4.8","1.5","5.7","1.5","7.4","1.7","16.1","2.4","12.6","2.3","21.9","2.5","11.4","1.8","14.7","1.7","96254","6473","126362","7206","35.6","(X)","(X)","(X)","(X)","(X)","38894","2021","1.6","1.2","0.6","0.5","1.1","1.0","1.7","1.0","5.9","1.9","14.7","2.6","12.4","2.7","26.1","3.2","14.7","2.6","21.2","2.7","121949","9067","158139","11183","(X)","(X)","36.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","133416","9864","N","N","(X)","(X)","(X)","(X)","(X)","(X)","23825","1916","7.3","2.9","4.3","2.7","10.4","3.5","12.4","3.5","10.4","3.5","20.6","5.3","11.9","3.8","14.4","4.1","5.8","2.3","2.6","1.5","54496","9275","69537","5920","(X)","(X)","(X)","(X)","32.4","(X)",
"310M700US18260","Cookeville, TN Micro Area","60000","2127","6.6","1.9","4.2","1.6","9.2","2.4","5.4","1.4","17.3","3.1","17.6","2.3","12.6","2.4","16.6","2.5","5.5","1.9","5.0","1.1","57851","5244","77112","4466","33.1","(X)","(X)","(X)","(X)","(X)","38676","2442","1.8","0.9","1.1","0.7","3.6","1.6","6.8","2.1","16.6","3.4","18.1","3.2","15.2","2.9","22.0","3.4","7.8","2.9","7.1","1.8","78910","6052","94418","6117","(X)","(X)","34.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","91805","7734","N","N","(X)","(X)","(X)","(X)","(X)","(X)","21324","1817","15.6","5.3","9.7","4.0","19.8","5.3","5.4","2.5","18.8","5.4","17.1","4.0","6.5","3.3","5.1","2.8","1.5","1.3","0.5","0.6","34181","7094","42595","5334","(X)","(X)","(X)","(X)","28.6","(X)",
"310M700US18340","Corbin, KY Micro Area","57422","1975","7.8","2.0","10.8","2.4","10.3","2.3","9.2","2.0","13.4","2.6","17.6","2.8","9.7","1.9","14.4","2.7","4.3","1.4","2.6","1.3","48179","3934","62084","3566","41.1","(X)","(X)","(X)","(X)","(X)","39382","2306","5.3","2.0","4.2","1.9","10.5","2.7","8.7","2.0","12.1","2.9","20.0","3.4","12.3","2.6","17.5","3.2","5.6","1.9","3.8","1.9","61520","2989","73480","4731","(X)","(X)","43.4","(X)","(X)","(X)","29009","2254","3.0","1.8","2.0","1.6","7.6","2.9","7.8","2.4","10.8","2.9","21.9","4.4","15.0","3.2","20.9","3.7","6.1","2.2","5.0","2.5","72002","4876","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18040","2365","16.4","5.3","24.7","6.3","13.3","4.3","7.9","3.7","14.3","5.1","12.5","5.1","3.5","1.9","5.9","2.8","1.5","1.5","0.0","1.0","21522","5170","34210","4483","(X)","(X)","(X)","(X)","35.5","(X)",
"310M700US18500","Corning, NY Micro Area","39584","1140","5.5","1.2","4.6","1.9","7.4","1.5","8.9","1.9","8.9","1.9","18.5","2.9","14.6","2.3","19.6","3.0","6.4","1.4","5.6","1.3","68613","6677","86431","6087","32.8","(X)","(X)","(X)","(X)","(X)","24206","1396","2.6","1.3","2.4","2.1","4.5","1.5","5.1","1.8","9.3","2.6","19.5","4.0","15.4","3.1","23.7","3.5","9.3","2.0","8.3","2.0","85151","5706","105578","9631","(X)","(X)","34.8","(X)","(X)","(X)","17738","1311","1.3","1.0","1.1","1.6","1.9","1.0","3.7","1.6","5.2","1.9","18.0","4.0","17.0","3.6","28.5","4.3","12.4","2.6","10.9","2.6","101330","4737","N","N","(X)","(X)","(X)","(X)","(X)","(X)","15378","1256","10.9","2.9","8.0","3.2","13.5","3.2","15.1","4.1","10.3","2.8","18.8","4.4","8.8","3.0","11.6","4.3","1.8","1.1","1.2","1.1","38250","7007","51904","4447","(X)","(X)","(X)","(X)","26.8","(X)",
"310M700US18580","Corpus Christi, TX Metro Area","173169","3590","5.2","1.0","4.8","0.9","6.8","1.1","7.6","1.2","10.8","1.3","19.3","1.9","13.1","1.8","16.2","1.8","7.4","1.2","8.8","1.4","68650","3565","93313","4378","39.3","(X)","(X)","(X)","(X)","(X)","119481","4393","4.4","1.2","3.3","1.1","4.1","1.1","5.3","1.1","9.7","1.4","18.8","2.4","15.1","2.0","17.9","1.9","9.8","1.6","11.4","1.7","80435","4388","108321","5066","(X)","(X)","43.3","(X)","(X)","(X)","81917","4166","1.6","0.6","0.8","0.5","3.0","1.2","3.2","1.2","7.4","1.6","17.2","2.6","15.4","2.4","23.0","2.6","13.3","2.3","15.1","2.5","102495","5671","129704","7340","(X)","(X)","(X)","(X)","(X)","(X)","53688","4232","9.0","2.5","8.0","1.9","13.5","2.7","12.4","3.0","15.2","2.7","20.1","3.7","7.4","2.1","10.3","2.7","1.5","0.9","2.7","1.5","40567","3164","55435","5239","(X)","(X)","(X)","(X)","29.3","(X)",
"310M700US18700","Corvallis, OR Metro Area","39411","979","8.4","2.1","3.0","1.5","7.7","2.4","6.5","1.9","9.5","2.3","13.5","3.0","8.1","2.1","18.4","2.7","9.3","2.2","15.5","2.9","79179","9019","127701","16849","29.2","(X)","(X)","(X)","(X)","(X)","22705","1400","4.5","2.6","0.3","0.4","3.8","2.5","4.3","2.1","7.2","3.1","9.5","2.9","8.1","2.5","24.4","3.9","14.2","3.6","23.6","4.1","118503","10779","177140","28476","(X)","(X)","26.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","137257","10926","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16706","1415","14.3","3.7","6.7","3.3","12.7","4.4","9.3","3.2","12.7","3.6","19.1","5.3","8.1","3.2","10.6","3.1","2.8","2.0","3.8","3.1","43131","7694","57086","6980","(X)","(X)","(X)","(X)","31.6","(X)",
"310M700US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area","124494","3622","4.5","1.2","2.5","1.0","4.5","1.0","5.4","1.0","11.1","2.0","16.7","2.3","13.0","1.7","21.0","2.0","8.2","1.4","13.1","1.6","81933","3839","115936","6994","35.9","(X)","(X)","(X)","(X)","(X)","85304","3475","2.7","1.3","1.2","0.8","3.2","1.2","4.1","1.3","9.1","2.4","15.9","2.8","14.7","2.4","22.9","2.5","9.3","1.6","16.9","2.3","96759","7856","131743","9335","(X)","(X)","39.2","(X)","(X)","(X)","62495","2961","0.9","0.8","1.1","0.9","2.1","1.3","1.8","0.8","6.1","1.9","13.8","2.5","14.8","2.4","26.4","2.8","11.2","2.0","22.0","2.9","117281","5970","153364","11266","(X)","(X)","(X)","(X)","(X)","(X)","39190","3060","9.0","2.4","5.6","2.5","8.0","2.4","8.4","2.0","17.5","3.8","19.6","4.4","10.0","2.5","12.9","3.4","4.6","2.5","4.6","1.8","50736","2823","76250","14261","(X)","(X)","(X)","(X)","26.3","(X)",
"310M700US18900","Crossville, TN Micro Area","30533","975","6.0","2.7","3.3","1.7","6.4","2.6","10.0","3.0","14.6","3.8","19.5","4.1","16.6","3.4","14.0","2.8","4.9","1.8","4.7","2.0","63461","6616","78315","7196","34.8","(X)","(X)","(X)","(X)","(X)","21978","1610","3.8","2.6","0.5","0.5","4.0","2.2","8.7","3.5","13.7","4.2","20.2","4.4","19.2","4.4","18.1","3.6","6.5","2.3","5.4","2.6","74167","5799","89168","7764","(X)","(X)","33.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","81389","6045","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8555","1538","11.8","6.4","10.4","5.8","17.5","8.4","17.0","6.7","13.7","5.9","17.2","8.3","6.3","5.2","2.9","2.3","1.7","2.2","1.5","1.9","31072","5601","45887","10684","(X)","(X)","(X)","(X)","34.3","(X)",
"310M700US18980","Cullman, AL Micro Area","35600","1411","4.9","2.1","4.1","1.8","7.6","2.4","9.3","3.0","14.6","3.2","15.8","3.3","11.6","2.7","18.3","4.4","7.2","2.6","6.7","2.2","62876","8817","89860","9482","40.2","(X)","(X)","(X)","(X)","(X)","26010","1854","3.2","1.9","3.5","1.8","5.0","2.5","9.3","3.7","10.4","3.5","16.0","4.4","13.2","3.3","22.3","4.9","9.1","3.3","8.0","2.9","78625","6408","103369","12617","(X)","(X)","40.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","92935","13370","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9590","1486","10.3","6.1","9.4","5.3","16.3","5.4","9.0","4.1","27.7","7.8","10.7","3.7","4.7","3.0","6.8","5.8","1.9","1.8","3.2","2.9","36077","2458","49381","8222","(X)","(X)","(X)","(X)","38.1","(X)",
"310M700US19060","Cumberland, MD-WV Micro Area","39260","1392","7.6","2.4","3.4","1.3","6.2","2.0","7.8","2.0","13.4","2.9","16.9","3.1","16.1","3.7","18.2","3.5","7.4","2.9","2.9","1.2","66580","3055","76299","4612","36.4","(X)","(X)","(X)","(X)","(X)","25167","1576","6.5","2.9","2.0","1.4","1.4","0.8","6.7","2.5","15.3","4.1","18.3","3.8","16.8","4.5","20.7","4.6","8.6","3.7","3.5","1.7","74215","8833","83811","5767","(X)","(X)","36.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87871","12390","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14093","1520","10.1","4.2","6.5","2.8","14.4","4.9","12.3","4.1","14.0","4.7","14.4","4.3","12.0","4.7","11.8","4.6","2.8","2.3","1.6","1.4","43914","9413","56233","6925","(X)","(X)","(X)","(X)","35.2","(X)",
"310M700US19100","Dallas-Fort Worth-Arlington, TX Metro Area","3012855","10622","4.2","0.3","2.4","0.2","4.2","0.3","5.6","0.3","8.8","0.4","15.4","0.5","12.6","0.5","19.0","0.4","11.0","0.4","16.8","0.3","92733","1281","126772","1245","37.0","(X)","(X)","(X)","(X)","(X)","2031312","18003","2.4","0.2","1.2","0.2","2.9","0.3","4.3","0.3","7.1","0.4","13.4","0.5","12.6","0.5","21.4","0.5","13.2","0.5","21.4","0.5","111428","1121","147196","1619","(X)","(X)","40.1","(X)","(X)","(X)","1518141","17133","1.3","0.2","0.6","0.2","1.6","0.2","2.7","0.3","4.9","0.4","11.0","0.5","12.2","0.6","23.1","0.7","15.8","0.6","26.8","0.7","131949","1384","169230","2099","(X)","(X)","(X)","(X)","(X)","(X)","981543","18690","8.3","0.6","4.7","0.5","7.5","0.6","9.0","0.7","12.9","0.9","20.3","1.0","12.3","0.8","13.2","0.8","5.6","0.5","6.1","0.5","59986","1613","79447","1845","(X)","(X)","(X)","(X)","29.5","(X)",
"310M700US19140","Dalton, GA Metro Area","52459","1327","5.4","1.7","5.0","1.6","9.1","2.5","7.1","2.0","11.4","2.6","19.4","4.0","15.8","3.5","15.5","3.2","6.5","2.1","4.7","1.5","66660","4054","82146","6507","53.9","(X)","(X)","(X)","(X)","(X)","35934","2061","5.5","2.2","3.3","2.0","5.2","2.1","4.7","1.7","8.6","2.5","20.1","4.5","19.8","4.5","17.5","4.1","8.4","2.8","6.9","2.3","77881","5456","95920","8991","(X)","(X)","55.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","85461","8310","N","N","(X)","(X)","(X)","(X)","(X)","(X)","16525","2037","11.2","4.6","9.5","3.5","13.9","4.8","11.1","4.7","17.4","5.5","19.6","7.5","5.8","3.2","9.3","4.3","2.1","2.5","0.2","0.2","37025","9320","46982","5845","(X)","(X)","(X)","(X)","47.7","(X)",
"310M700US19180","Danville, IL Micro Area","30153","1284","5.4","1.9","3.4","1.4","10.1","2.6","13.3","3.6","10.1","2.7","14.6","2.7","15.0","3.6","17.2","2.9","8.1","2.9","2.9","1.4","62551","5038","76120","4565","41.8","(X)","(X)","(X)","(X)","(X)","17905","1599","5.1","2.6","2.1","1.6","5.5","2.5","10.7","3.7","8.7","2.9","14.2","4.1","15.0","3.9","23.4","3.8","10.3","4.2","4.9","2.4","78653","7789","91039","6917","(X)","(X)","38.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","107228","7405","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12248","1437","8.7","4.0","4.8","2.6","17.2","5.4","17.2","5.7","12.4","5.4","16.5","5.2","11.3","5.6","7.1","3.7","5.0","4.2","0.0","1.5","36476","8445","50866","6416","(X)","(X)","(X)","(X)","45.5","(X)",
"310M700US19260","Danville, VA Micro Area","46322","1340","7.1","1.8","6.4","1.6","9.4","2.4","9.7","2.7","14.1","2.7","17.7","2.8","12.4","2.4","14.9","2.7","4.8","1.4","3.6","1.3","56347","4074","72108","4655","48.5","(X)","(X)","(X)","(X)","(X)","28858","1720","4.3","1.9","1.9","1.5","5.6","2.6","6.1","1.8","13.0","3.1","21.4","3.9","15.9","3.6","20.4","4.0","6.1","2.0","5.3","2.0","71622","5838","86762","5947","(X)","(X)","50.8","(X)","(X)","(X)","17595","1562","3.6","2.0","0.8","0.8","1.8","1.4","3.7","1.7","10.0","3.3","23.3","4.3","17.3","4.4","22.5","4.7","9.2","3.1","7.7","3.1","82824","5531","N","N","(X)","(X)","(X)","(X)","(X)","(X)","17464","1649","12.6","3.7","13.6","3.8","18.7","4.1","14.8","5.3","13.0","3.7","13.5","3.5","5.7","2.4","5.1","2.7","2.2","1.8","0.9","0.8","28380","2602","45278","8632","(X)","(X)","(X)","(X)","41.7","(X)",
"310M700US19300","Daphne-Fairhope-Foley, AL Metro Area","105959","3520","3.3","1.1","3.8","1.3","6.2","1.5","7.6","1.8","9.5","1.7","14.7","2.2","15.4","2.4","19.5","2.8","7.9","1.6","11.9","2.2","82501","5205","105861","6708","37.7","(X)","(X)","(X)","(X)","(X)","72891","4060","1.2","0.7","2.2","1.4","3.4","1.7","5.5","1.8","7.9","1.9","14.5","2.3","16.3","2.8","23.4","3.3","10.3","2.0","15.1","2.9","97123","7676","123941","8692","(X)","(X)","38.4","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","104253","5883","N","N","(X)","(X)","(X)","(X)","(X)","(X)","33068","3273","8.0","3.2","7.4","2.9","12.4","4.1","12.5","4.1","14.2","3.8","18.1","5.0","11.4","4.2","9.3","3.2","2.4","2.3","4.3","2.7","44007","6639","63256","9276","(X)","(X)","(X)","(X)","34.7","(X)",
"310M700US19340","Davenport-Moline-Rock Island, IA-IL Metro Area","164167","1919","4.6","1.0","3.2","0.7","6.2","1.2","6.9","1.0","13.5","1.5","17.9","1.5","13.9","1.7","15.7","1.5","10.1","1.4","8.1","0.9","71446","2543","93960","3290","33.5","(X)","(X)","(X)","(X)","(X)","98901","3044","2.2","0.8","2.2","0.8","2.8","0.9","3.9","0.9","9.5","1.4","18.3","1.9","14.9","2.0","20.4","2.1","14.1","2.0","11.6","1.3","92417","4441","115427","4502","(X)","(X)","34.2","(X)","(X)","(X)","71658","3492","0.8","0.7","0.8","0.4","1.3","0.5","2.3","0.8","7.3","1.3","15.6","1.8","15.4","2.3","22.5","2.4","18.2","2.5","15.7","1.8","111664","5863","134453","4951","(X)","(X)","(X)","(X)","(X)","(X)","65266","2828","8.7","2.2","4.7","1.5","11.7","2.3","12.1","2.1","20.2","2.8","16.8","2.4","12.7","2.4","8.4","2.1","2.3","0.7","2.3","0.8","43493","2935","57682","3409","(X)","(X)","(X)","(X)","32.0","(X)",
"310M700US19430","Dayton-Kettering-Beavercreek, OH Metro Area","347200","3284","6.0","0.7","3.7","0.8","6.0","0.7","7.6","0.8","11.8","1.0","16.3","1.2","13.9","1.0","17.9","1.2","8.8","0.9","8.1","0.7","72711","2208","93641","2888","34.9","(X)","(X)","(X)","(X)","(X)","203258","4892","2.9","0.7","2.0","0.8","3.8","0.7","3.8","0.8","8.2","1.3","15.9","1.6","14.8","1.2","23.2","1.7","13.1","1.3","12.4","1.0","97645","2941","117162","3279","(X)","(X)","35.1","(X)","(X)","(X)","152653","4660","0.9","0.4","0.2","0.2","2.0","0.6","2.8","0.7","5.8","1.2","14.3","1.7","15.0","1.4","26.8","2.0","16.2","1.6","15.9","1.3","115290","4075","135121","4314","(X)","(X)","(X)","(X)","(X)","(X)","143942","4590","11.1","1.7","6.8","1.4","9.6","1.4","12.7","1.8","18.0","2.0","17.3","1.9","11.4","1.6","8.8","1.4","2.6","0.8","1.7","0.7","43201","2318","57566","4786","(X)","(X)","(X)","(X)","34.1","(X)",
